GWBcode8;GWBlabel
220700;Bebouwde kom Enumatil
220709;Buitengebied Enumatil
240000;Loppersum
240001;Garrelsweer
240002;Wirdum
240003;Wirdumerdraai
240005;Winneweer (gedeeltelijk)
240008;Verspreide huizen Eemskanaal en Damsterdiep
240009;Verspreide huizen ten noorden van het Damsterdiep
240100;Stedum
240101;Westeremden
240102;Garsthuizen (gedeeltelijk)
240109;Verspreide huizen Stedum inclusief Startenhuizen
240200;Middelstum
240201;Westerwijtwerd
240202;Huizinge
240203;Toornwerd
240209;Verspreide huizen Middelstum
240300;'t Zandt
240301;Zeerijp
240302;Zijldijk
240303;Leermens
240304;Oosterwijtwerd
240305;Eenum
240309;Verspreide huizen 't Zandt
250000;Marum
250002;Nuis
250003;Niebert
250004;Boerakker
250005;Lucaswolde
250006;Noordwijk
250007;De Haar
250008;Verspreide huizen in het noordwesten
250009;Verspreide huizen in het noordoosten
250100;De Wilp (gedeeltelijk)
250101;Wilpstervaart
250102;Keuningswijk
250104;Jonkersvaart
250108;Verspreide huizen ten noorden van Jonkersvaart
250109;Verspreide huizen ten noorden van de Wilp
340101;Centrum Almere Haven
340102;De Werven
340103;De Hoven
340104;De Meenten
340105;De Grienden
340106;De Marken
340107;De Gouwen
340108;De Wierden
340109;De Velden
340110;Overgooi
340171;De Steiger
340173;Stichtsekant
340199;Overig Almere Haven
340201;Centrum Almere Stad
340202;Filmwijk
340203;Danswijk
340204;Parkwijk
340205;Verzetswijk
340206;Waterwijk
340207;Tussen de Vaarten Noord
340208;Tussen de Vaarten Zuid
340209;Staatsliedenwijk
340210;Kruidenwijk
340211;Stedenwijk
340212;Muziekwijk Noord
340213;Muziekwijk Zuid
340214;Literatuurwijk
340215;Noorderplassen
340271;Randstad
340272;Markerkant
340273;Hollandsekant
340274;Gooisekant
340275;Veluwsekant
340276;Sallandsekant
340299;Overig Almere Stad
340301;Centrum Almere Buiten
340302;Oostvaardersbuurt
340303;Seizoenenbuurt
340304;Molenbuurt
340305;Bouwmeesterbuurt
340306;Landgoederenbuurt
340307;Faunabuurt
340308;Bloemenbuurt
340309;Regenboogbuurt
340310;Indischebuurt
340311;Eilandenbuurt
340312;Stripheldenbuurt
340313;Sieradenbuurt
340371;Poldervlak
340372;De Vaart
340373;Buitenvaart
340399;Overig Almere Buiten
340401;Europakwartier
340402;Columbuskwartier
340403;Homeruskwartier
340404;Olympiakwartier
340405;Duin
340471;Hogekant
340472;Middenkant
340473;Lagekant
340499;Overig Almere Poort
340502;Vogelhorst
340503;Nobelhorst
340571;Twentsekant
340599;Overig Almere Hout
340699;Overig Almere Pampus
370100;Stadskanaal Centrum
370101;Maarsstee
370102;Maarswold
370103;Maarsveld
370104;De Hagen
370105;Vogelwijk en De Borgen
370106;Industriegebied Vleddermond
370107;Dideldom
370108;Parkwijk
370109;Stadskanaal Noord Landskant
370110;Stadskanaal Noord Centrum
370111;Stadskanaal Noord
370112;Waterland
370200;Musselkanaal Centrum
370201;Musselkanaal Zuid
370202;Musselkanaal Noord
370203;Ceresdorp
370300;Onstwedde
370301;Holte
370308;Onstwedde Buitengebied Noord
370309;Onstwedde Buitengebied Zuid
370400;Mussel
370401;Kopstukken
370402;Vledderveen
370409;Mussel Buitengebied
370500;Alteveer
370509;Alteveer Buitengebied
470000;Veendam-Centrum
470001;Veendam-Oude Ae
470002;Veendam-Middenweg en omgeving
470003;Veendam en omgeving station
470004;Veendam-Zuid
470005;Veendam-Sorghvliet
470006;Veendam-industriegebied
470007;Buitenwoel
470100;Borgercompagnie (gedeeltelijk)
470101;Ommelanderwijk
470102;Zuidwending
470109;Verspreide huizen
470200;Wildervank
470201;Boven-Wildervank
470202;Bareveld
470203;Wildervanksterdallen
470209;Verspreide huizen
500000;Centrum
500001;Eerste woonwijk
500002;Tweede woonwijk
500003;Derde woonwijk
500004;Buurt 4
500005;Buurt 5
500006;Zuidlob
500007;Middengebied
500008;Knardijkgebied
500009;Trekkersveld
500010;Horstenparc
530000;Winsum
530001;Obergum
530002;Ripperda
530003;Potmaar
530004;De Brake
530009;Verspreide huizen Winsum
530100;Ezinge
530101;Feerwerd
530102;Garnwerd
530109;Verspreide huizen Ezinge
530200;Baflo
530201;Den Andel
530202;Rasquert
530203;Tinallinge
530204;Saaxumhuizen
530209;Verspreide huizen Baflo
530300;Adorp
530301;Sauwerd
530302;Wetsinge
530309;Verspreide huizen Adorp
560000;Zuidhorn
560001;Noordhorn
560002;Niezijl
560003;Briltil
560009;Verspreide huizen Zuidhorn
560100;Grijpskerk
560102;Visvliet
560103;Kommerzijl
560104;Pieterzijl
560109;Verspreide huizen Grijpskerk
560200;Oldehove
560201;Niehove
560203;Saaksum
560204;Lauwerzijl
560208;Verspreide huizen Ruigezand en Nieuwe Ruigezand
560209;Overige verspreide huizen
560300;Aduard
560301;Den Horn
560302;Den Ham
560309;Verspreide huizen Aduard
580000;Dokkum binnen de Bolwerken
580001;Dokkum Noord
580002;Dokkum Fonteinslanden
580003;Dokkum Fugellan
580004;Dokkum Betterwird
580005;Dokkum Hoedemakerspolder
580006;Dokkum De Woudhorne
580007;De Trije Terpen
580008;Dokkum Weeshuislanden
580009;Dokkum Jantjeszeepolder
580010;Dokkum Kooilanden
580011;Dokkum Hogedijken
580100;Metslawier
580101;Jouswier
580102;Niawier
580103;Wetsens
580104;Aalsum
580105;Oostrum
580107;Verspreide huizen Metslawier
580108;Verspreide huizen Niawier
580109;Verspreide huizen Oostrum
580200;Ee
580201;Engwierum
580202;Dokkumer Nieuwe Zijlen
580208;Verspreide huizen Ee
580209;Verspreide huizen Engwierum
580300;Anjum
580301;Lioessens
580302;Morra
580303;Oostmahorn
580307;Verspreide huizen Anjum
580308;Verspreide huizen Lioessens
580309;Verspreide huizen Morra
580400;Oosternijkerk
580401;Paesens
580408;Verspreide huizen Oosternijkerk
580409;Verspreide huizen Paesens
580500;Ternaard
580501;Wierum
580502;Nes
580503;Moddergat
580506;Verspreide huizen Ternaard
580507;Verspreide huizen Wierum
580508;Verspreide huizen Nes
580509;Verspreide huizen Moddergat
580600;Holwerd
580601;Waaxens
580602;Brantgum
580603;Foudgum
580604;Bornwird
580605;Raard
580608;Verspreide huizen Holwerd
580609;Verspreide huizen Brantgum
580700;Hantum
580701;Hantumhuizen
580702;Hantumeruitburen
580703;Hiaure
580708;Verspreide huizen Hantum
580709;Verspreide huizen Hantumhuizen
590000;Buitenpost
590001;Twijzel
590002;Kootstertille
590003;Twijzelerheide
590004;Gerkesklooster
590005;Verspreide huizen Buitenpost
590006;Verspreide huizen Twijzel
590007;Verspreide huizen Kootstertille
590008;Verspreide huizen Twijzelerheide
590009;Verspreide huizen Gerkesklooster
590100;Stroobos
590102;Drogeham
590103;Augustinusga
590107;Verspreide huizen Stroobos
590108;Verspreide huizen Drogeham
590109;Verspreide huizen Augustinusga
590200;Surhuisterveen
590201;Harkema
590202;Surhuizum
590203;Boelenslaan
590206;Verspreide huizen Surhuisterveen
590207;Verspreide huizen Harkema
590208;Verspreide huizen Surhuizum
590209;Verspreide huizen Boelenslaan
600000;Nes
600001;Buren
600002;Ballum
600003;Hollum
600007;Verspreide huizen Ballum
600008;Verspreide huizen Nes
600009;Verspreide huizen Hollum
720001;De Spiker en het industrieterrein Hermes
720002;Trebolbuurt
720003;Plan-Zuid
720004;Oosterpark
720005;Koningsbuurt
720006;Binnenstad
720007;Industriehaven en omgeving
720009;Verspreide huizen Harlingen
720100;Midlum
720109;Verspreide huizen Midlum
720200;Wijnaldum
720209;Verspreide huizen Wijnaldum
740100;Noord
740101;Centrum
740102;Midden
740103;Nijehaske
740104;De Greiden
740105;De Heide
740106;De Akkers
740107;Skoatterwald
740108;Het meer
740109;Nieuweschoot
740110;Haskerveen
740201;Terband
740202;Luinjeberd
740203;Tjalleberd
740204;Gersloot
740205;Gersloot-polder
740301;De Knipe
740302;Bontebok
740401;Oudeschoot
740402;Mildam
740403;Katlijk
740404;Nieuwehorne
740405;Oudehorne
740406;Jubbega
740407;Hoornsterzwaag
740601;Oranjewoud
740701;Haskerdijken
740702;Nieuwebrug
740901;Akkrum
740902;Nes
740903;Aldeboarn
790000;Kollum
790009;Verspreide huizen Kollum
790100;Burum
790101;Kollumerpomp
790102;Warfstermolen
790103;Munnekezijl
790104;Augsbuurt
790106;Verspreide huizen Burum
790107;Verspreide huizen Kollumerpomp
790108;Verspreide huizen Warfstermolen
790109;Verspreide huizen Munnekezijl
790200;Oudwoude
790201;Triemen
790202;Westergeest
790208;Verspreide huizen Oudwoude
790209;Verspreide huizen Westergeest
790300;Kollumerzwaag
790301;Zwagerbosch
790302;Veenklooster
790309;Verspreide huizen Kollumerzwaag
801001;De Waag
801002;Nieuwestad
801003;Oldehove
801004;Grote Kerkbuurt
801005;Hoek
801006;Blokhuisplein
801007;Zaailand
801008;Stationskwartier
801101;Tulpenburg
801102;Oranjewijk
801103;Achter de Hoven
801104;Schepenbuurt
801105;Wielenpôlle
801106;Huizum-Dorp
801107;Huizum-Sixma
801108;Huizum-Bornia
801109;Huizum-Badweg
802001;Oldegalieën
802002;Bloemenbuurt
802003;Cambuursterpad
802004;Zamenhofpark
802005;Cambuur
802006;Zeeheldenbuurt
802007;Indische buurt
802008;Molenpad
802009;Welgelegen
803001;Transvaalwijk
803002;Bonifatius
803003;Rengerspark
803004;Vogelwijk
803005;Sonnenborgh
803006;Valeriuskwartier
803007;Magere Weide
803101;Westeinde
803102;Buitengebied Noordwest
803201;Vossepark
803202;Helicon
803203;Harlingervaart Noord
804001;Hollanderwijk
804002;Gerard Dou
804003;Julianapark
804004;Jan van Scorelbuurt
804101;Nijlân
804102;De Zwette I Harlingervaart
804103;De Zwette II Zwettehaven
804104;De Zwette III Schenkenschans
804105;De Zwette IV Businesspark
804106;De Zwette V Newton
804107;De Zwette VI Deinumerpolder
804108;EnergieCampus Sylsterrak
804109;Buitengebied De Zwette
804110;Buitengebied West
805001;Heechterp
805002;Schieringen
805003;De Centrale
805101;Camminghaburen-Noord
805102;Camminghaburen-Midden
805103;Camminghaburen-Zuid
805104;Grote Wielen
805105;De Groene Ster
806001;Bilgaard
806002;Havankpark
806003;Vierhuisterweg e.o.
806101;Vrijheidswijk-West
806102;Vrijheidswijk-Oost
806201;Lekkum
806202;Snakkerburen
806203;Buitengebied Lekkum en Miedum
806204;Blitsaerd
806205;Jelsum
806206;Buitengebied Jelsum
806207;Koarnjum
806208;Buitengebied Koarnjum
806209;Britsum
806210;Buitengebied Britsum
806301;Stiens
806302;Buitengebied Stiens
806303;Feinsum
806304;Buitengebied Feinsum
806305;Hijum
806306;Buitengebied Hijum
806307;Alde Leie
807001;Aldlân-Oost
807002;Aldlân-West
807003;Rapenburg
807004;Hemrik
807101;Goutum
807201;Hempens/Teerns
807202;Buitengebied Hempens
807203;Zuiderburen
807301;Techum
807302;Wiarda
807303;De Werp
807304;De Zuidlanden
807305;De Klamp
807401;Middelsee
808001;Wirdum
808002;Swichum
808003;Buitengebied Wirdum
808004;Wergea
808005;Buitengebied Wergea
808006;Warstiens
808007;Warten
808008;Buitengebied Warten
808101;Wytgaard
808102;Buitengebied Wytgaard
808103;Mantgum
808104;Buitengebied Mantgum
808105;Weidum
808106;Buitengebied Weidum
808107;Jellum
808108;Bears
808109;Jorwert
808110;Buitengebied Jorwert
808111;Hilaard
808112;Buitengebied Hilaard
808113;Húns
808114;Leons
808115;Baard
808116;Easterlittens
808117;Buitengebied Easterlittens
808201;Reduzum
808202;Buitengebied Reduzum
808203;Eagum
808204;Idaerd
808205;Friens
808206;Grou
808207;Buitengebied Grou
808208;Jirnsum
808209;Buitengebied Jirnsum
850000;Oosterwolde
850008;Industriepark Oosterwolde
850009;Verspreide huizen Oosterwolde
850100;Donkerbroek
850101;Haule
850108;Verspreide huizen Donkerbroek
850109;Verspreide huizen Haule
850200;Makkinga
850201;Elsloo
850202;Langedijke
850208;Verspreide huizen Makkinga
850209;Verspreide huizen Elsloo
850300;Oldeberkoop
850301;Nijeberkoop
850302;Verspreide huizen Nijeberkoop
850309;Verspreide huizen Oldeberkoop
850400;Haulerwijk
850401;Waskemeer
850408;Verspreide huizen Haulerwijk
850409;Verspreide huizen Waskemeer
850500;Appelscha
850501;Ravenswoud
850502;Fochteloo
850504;Oud Appelscha
850507;Verspreide huizen Appelscha
850508;Verspreide huizen Ravenswoud
850509;Verspreide huizen Fochteloo
860000;Gorredijk
860009;Verspreide huizen Gorredijk
860100;Langezwaag
860101;Luxwoude
860102;Tijnje
860107;Verspreide huizen Langezwaag
860108;Verspreide huizen Luxwoude
860109;Verspreide huizen Tijnje
860200;Terwispel
860201;Nij beets
860208;Verspreide huizen Terwispel
860209;Verspreide huizen Nij Beets
860300;Beetsterzwaag
860301;Olterterp
860302;Lippenhuizen
860303;Hemrik
860307;Verspreide huizen Beetsterzwaag
860308;Verspreide huizen Lippenhuizen
860309;Verspreide huizen Hemrik
860400;Ureterp
860401;Frieschepalen
860402;Siegerswoude
860408;Verspreide huizen Ureterp
860409;Verspreide huizen Frieschepalen
860500;Bakkeveen
860501;Wijnjewoude
860507;Verspreide huizen Bakkeveen
860508;Verspreide huizen Wijnjewoude-Oost
860509;Verspreide huizen Wijnjewoude-West
880000;Schiermonnikoog
880009;Verspreide huizen Schiermonnikoog
900001;Centrum
900002;De Wiken
900003;De Singels
900004;De Drait
900005;De Wiken-Oost
900006;De Venen
900007;De Folgeren
900008;De Swetten
900009;De Bouwen
900010;Noordoost
900011;De Haven
900012;Buitengebied Drachten
900013;De Trisken
900014;Fennepark
900015;Himsterhout
900016;Bedrijvenpark
900017;Vrijburg
900018;Burmaniapark
900120;Opeinde
900121;Rottevalle
900122;Houtigehage
900123;Drachtstercompagnie
900124;Kortehemmen
900125;Boornbergum
900126;De Wilgen
900127;Smalle Ee
900128;De Veenhoop
900129;Goëngahuizen
900130;Oudega
900131;Nijega
900132;De Tike
930000;West-Terschelling
930002;Verspreide huizen West-Terschelling
930110;Midsland
930111;Verspreide huizen Midsland-Zuid
930112;Verspreide huizen Midsland-Noord
930213;Formerum
930214;Verspreide huizen Formerum-Zuid
930215;Verspreide huizen Formerum-Noord
930316;Lies
930317;Verspreide huizen Lies-Zuid
930418;Koegelwieck
930419;Hoorn
930420;Verspreide huizen Hoorn-Zuid
930521;Oosterend
930522;Verspreide huizen Oosterend-Zuid
930523;De Boschplaat
960000;Oost-Vlieland
960009;Verspreide huizen Vlieland
980000;Wolvega
980009;Verspreide huizen Wolvega
980100;Sonnega
980101;Nijelamer
980102;Nijeholtwolde
980103;Oldeholtwolde
980104;Ter Idzard
980105;Verspreide huizen Sonnega
980106;Verspreide huizen Nijelamer
980107;Verspreide huizen Nijeholtwolde
980108;Verspreide huizen Oldeholtwolde
980109;Verspreide huizen Ter Idzard
980200;Oldetrijne
980201;Oldelamer
980208;Verspreide huizen Oldetrijne
980209;Verspreide huizen Oldelamer
980300;Munnekeburen
980301;Nijetrijne
980302;Langelille
980307;Verspreide huizen Munnekeburen
980308;Verspreide huizen Nijetrijne
980309;Verspreide huizen Langelille
980400;Scherpenzeel
980401;Spanga
980402;Slijkenburg
980408;Verspreide huizen Scherpenzeel
980409;Verspreide huizen Spanga
980500;Oldeholtpade
980501;Nijeholtpade
980508;Verspreide huizen Oldeholtpade
980509;Verspreide huizen Nijeholtpade
980600;Blesdijke
980601;De Blesse
980602;Peperga
980607;Verspreide huizen De Blesse
980608;Verspreide huizen Blesdijke
980609;Verspreide huizen Peperga
980700;Steggerda
980701;Vinkega
980702;De Hoeve
980707;Verspreide huizen Steggerda
980708;Verspreide huizen Vinkega
980709;Verspreide huizen De Hoeve
980800;Noordwolde
980801;Boijl
980807;Oosterstreek
980808;Verspreide huizen Noordwolde en Zandhuizen
980809;Verspreide huizen Boijl
1060000;Brinkkwartier
1060001;Erfgoedkwartier
1060002;Overcingel
1060003;Oranjebuurt
1060004;Galgenveld
1060005;Koopmanskwartier
1060006;Cultuureelkwartier
1060007;Oude Gasfabriek
1060008;De Hertenkamp
1060009;Asserbos
1060010;De Esch
1060011;Bomenbuurt
1060012;Zuiderpark
1060100;De Lariks Oost
1060101;Landgoed Lariks
1060102;De Lariks West
1060103;Luchiesland Zuid
1060104;Zuid Molukse Buurt
1060105;Luchiesland Noord
1060200;Oude Molenbuurt
1060201;Dichtershof
1060202;Veningerland
1060203;Zwarte Water
1060204;Componistenbuurt West
1060205;Componistenbuurt Oost
1060300;Dijkveld
1060301;Vreebergen
1060302;Houtlaan
1060303;Amelterhout
1060304;Schildersbuurt
1060305;Vredeveld Noord
1060306;Sluisdennen
1060307;Vredeveld Zuid
1060308;De Dorpen
1060309;GGZ-terrein
1060310;Park Diepstroeten
1060400;Pittelo Zuid
1060401;Pittelo Midden
1060402;Pittelo Noord
1060403;Recreatiepark Pittelo
1060500;De Maten
1060501;De Boskamp
1060502;Baggelhuizen Zuid
1060503;Baggelhuizen Midden
1060504;Baggelhuizen Noord
1060505;Lauwers
1060506;Huize Nassau
1060507;Kazerneterrein
1060508;Westerpark
1060509;Sportpark Stadsbroek
1060600;De Venen/De Wallen
1060601;De Velden/De Stukken
1060602;De Landen/De Akkers
1060603;De Kampen/De Essen
1060604;Peelerpark
1060700;Messchenveld
1060701;De Messchen
1060702;De Hamels
1060703;De Kleuven
1060704;De Dreven
1060705;De Breeën
1060706;De Hoven
1060707;De Heugten
1060708;De Beemden
1060709;De Hullen
1060710;De Stoepen
1060711;De Goorns
1060712;Bedrijventerrein Marsdijk West
1060713;Bedrijventerrein West
1060714;Bedrijventerrein Oost
1060715;Bedrijventerrein Marsdijk Oost
1060716;Havenkanaal Noordzijde
1060717;Havenkanaal Zuidzijde
1060800;Kloosterveste
1060801;Kloostertuinen
1060802;Kloosterhaven
1060803;Kloosterlanen
1060804;Kloosterhoven
1060805;Kloosterstede
1060806;Kloostergaarde
1060807;Kloosterhage
1060808;Kloosterkade
1060809;Sterrenbeeldenbuurt
1060810;Planetenbuurt
1060811;De Zoom
1060812;De Hoogspanning
1060813;Groene Dijk
1060814;Recreatiepark Zeijerveen
1060815;Kloosterhout
1060816;Kloosterbos
1060817;Uitbreidingsgebied Kloosterveen
1069900;Loon
1069901;Verspreide huizen Loon
1069902;Het grote Veld
1069903;Verspreide huizen Ubbena Oost
1069904;Ubbena
1069905;Verspreide huizen Ubbena West
1069906;Rhee
1069907;Verspreide huizen Ter Aard
1069908;Ter Aard
1069909;Zeijerveld
1069910;Bos en Golf
1069911;Verspreide huizen Witten
1069912;Witten
1069913;Graswijkbuurt
1069914;Verspreide huizen Anreep
1069915;Anreep/Schieven
1069916;Verspreide huizen Schieven
1069917;Natuurgebied Amelte
1091000;Coevorden-Centrum
1091001;Lootuinen
1091002;Poppenhare
1091003;Binnenvree Buitenvree Pikveld
1091004;De Heege
1091006;Klooster
1091007;Ballast
1091008;De Loo
1091009;Verspreide huizen Coevorden
1091010;Holwert
1091011;Hare
1091012;Leeuwerikenveld
1091013;De Heege en De Mars
1091014;Klinkenvlier
1091015;Ossehaar
1091116;Steenwijksmoer
1091117;Verspreide huizen Steenwijksmoer
1091218;Nieuwe Krim
1091219;Verspreide huizen Nieuwe Krim
1091320;Verspreide huizen Weijerswold
1091421;Verspreide huizen Vlieghuis en Padhuis
1092022;Dalen
1092023;Verspreide huizen Dalen
1092024;Wachtum
1092025;Verspreide huizen Wachtum
1092026;Dalerpeel
1092027;Verspreide huizen Dalerpeel
1092028;Dalerveen
1092029;Verspreide huizen Dalerveen
1092030;Stieltjeskanaal
1092031;Verspreide huizen Stieltjeskanaal
1093032;Oosterhesselen
1093033;Verspreide huizen Oosterhesselen
1093034;Gees
1093035;Verspreide huizen Gees
1093036;Zwinderen
1093037;Verspreide huizen Zwinderen
1093038;Geesbrug
1093039;Verspreide huizen Geesbrug
1093068;Verspreide huizen Nieuwlande
1094040;Sleen
1094041;Diphoorn
1094042;Verspreide huizen Sleen
1094043;Noord-Sleen
1094044;'t Haantje
1094045;Verspreide huizen 't Haantje
1094046;Verspreide huizen Noord-Sleen
1094047;Schoonoord
1094048;De Kiel
1094049;Verspreide huizen De Kiel
1094050;Verspreide huizen Kibbelveen
1094051;Verspreide huizen Schoonoord
1094052;Verspreide huizen Veenoord
1094053;Erm
1094054;Achterste Erm
1094055;Holsloot
1094056;Verspreide huizen Holsloot
1094057;Verspreide huizen Elm
1095058;Zweeloo
1095059;Aalden
1095060;Verspreide huizen Zweeloo
1095061;Meppen
1095062;Verspreide huizen Meppen
1095063;Wezup
1095064;Wezuperbrug
1095065;Benneveld
1095066;Verspreide huizen Benneveld
1095067;Verspreide huizen Wezuperbrug
1140100;Derde Kruisdiep
1140101;Eerste Kruisdiep
1140102;Tramwijk
1140103;Achterdiep
1140104;Weerdingerkanaal
1140106;Siepelveen
1140109;Verspreide huizen Nieuw-Weerdinge
1140200;Roswinkel-Centrum
1140206;Oude Schuttingskanaal
1140208;Roswinkelerstraat
1140209;Verspreide huizen Roswinkel
1140300;Emmer-Compascuum-Centrum
1140301;Emmer-Erfscheidenveen
1140302;Foxel
1140303;Oosterdiep
1140304;Hoofdkanaal
1140309;Verspreide huizen Emmer-Compascuum
1140400;Barger-Compascuum-Centrum
1140401;Scholtenskanaal
1140402;Verlengde Oosterdiep
1140408;Limietweg
1140409;Verspreide huizen Barger-Compascuum
1140500;Nieuw-Dordrecht-Centrum
1140502;Oranjedorp
1140503;Vastenow
1140504;Herenstreek
1140509;Verspreide huizen Nieuw-Dordrecht
1140600;Nieuw-Amsterdam-Centrum
1140601;Barger-Erfscheidenveen
1140608;Langs de Vaart
1140609;Verspreide huizen Nieuw-Amsterdam
1140700;Erica-Centrum
1140701;Amsterdamscheveld
1140702;Beekweg
1140707;Verlengde Vaart
1140708;Ericasestraat
1140709;Verspreide huizen Erica
1140800;Klazienaveen-Noord
1140801;Klazienaveen-Zuid
1140802;Barger-Oosterveen
1140803;Kloostermanswijk
1140804;Dordsedijk
1140806;Derksweg
1140807;Tuinbouwcentrum Klazienaveen
1140809;Verspreide huizen Klazienaveen
1140900;Zwartemeer-Centrum
1140901;Kamerlingswijk
1140909;Verspreide huizen Zwartemeer
1141000;Schoonebeek
1141001;Oosterse Bos en Middendorp
1141002;Westerse Bos
1141003;Zandpol
1141004;Industrieterrein De Vierslagen
