GWBcode8;GWBlabel
16306;Wijk 06 Kruidenwijk
16307;Wijk 07 Haarle
16308;Wijk 08 Daarle
16309;Wijk 09 Daarlerveen
16400;Wijk 00 Binnenstad
16401;Wijk 01 Hengelose Es
16402;Wijk 02 Noord
16403;Wijk 03 Hasseler Es
16404;Wijk 04 Groot Driene
16405;Wijk 05 Berflo Es
16406;Wijk 06 Wilderinkshoek
16407;Wijk 07 Woolde
16408;Wijk 08 Slangenbeek
16409;Wijk 09 Buitengebied
16600;Wijk 00 Kampen
16603;Wijk 03 IJsselmuiden
16604;Wijk 04 Zalk
16605;Wijk 05 Wilsum
16606;Wijk 06 Grafhorst
16607;Wijk 07 Kamperveen
16608;Wijk 08 's-Heerenhoek
16609;Wijk 09 Verspreide huizen
16800;Wijk 00 Losser
16801;Wijk 01 Glane
16802;Wijk 02 Overdinkel
16803;Wijk 03 De Lutte
16804;Wijk 04 Beuningen
17101;Wijk 01 Emmeloord
17102;Wijk 02 Bant
17103;Wijk 03 Luttelgeest
17104;Wijk 04 Marknesse
17105;Wijk 05 Kraggenburg
17106;Wijk 06 Ens
17107;Wijk 07 Nagele
17108;Wijk 08 Tollebeek
17109;Wijk 09 Espel
17110;Wijk 10 Creil
17111;Wijk 11 Rutten
17112;Wijk 12 Schokland
17301;Wijk 01 Binnenstad
17302;Wijk 02 Het Inslag-De Kleies
17303;Wijk 03 Glinde-Hooiland
17304;Wijk 04 De Meijbree
17305;Wijk 05 Haerbroek-Scholtenhoek
17306;Wijk 06 Zuid-Berghuizen
17307;Wijk 07 Hanzepoort
17308;Wijk 08 Eekte-Hazewinkel
17309;Wijk 09 Jufferbeek
17310;Wijk 10 Het Hulsbeek
17311;Wijk 11 De Thij
17312;Wijk 12 De Graven Es
17313;Wijk 13 De Essen
17314;Wijk 14 Bekspring
17501;Ommen
17502;Arrien
17503;Beerze
17504;Beerzerveld
17505;Dalmsholte
17506;Giethmen
17507;Lemele
17508;Stegeren
17509;Vilsteren
17510;Vinkenbuurt
17511;Witharen
17700;Wijk 00 Raalte-Kern
17701;Wijk 01 Raalte-overig en buitengebied
17702;Wijk 02 Heeten
17703;Wijk 03 Luttenberg
17704;Wijk 04 Broekland
17705;Wijk 05 Mariënheem
17706;Wijk 06 Nieuw Heeten
17708;Wijk 08 Heino
17709;Wijk 09 Laag Zuthem
17710;Wijk 10 Lierderholthuis
18000;Wijk 00 Staphorst (kern)
18001;Wijk 01 Rouveen (kern)
18002;Wijk 02 Rouveen (buitengebied)
18003;Wijk 03 Staphorst (buitengebied)
18004;Wijk 04 IJhorst
18005;Wijk 05 Punthorst
18006;Wijk 06 Lankhorst
18007;Wijk 07 Klooster
18300;Wijk 00 Tubbergen
18301;Wijk 01 Albergen
18302;Wijk 02 Harbrinkhoek
18303;Wijk 03 Geesteren
18304;Wijk 04 Langeveen
18305;Wijk 05 Vasse
18306;Wijk 06 Reutum
18307;Wijk 07 Fleringen
18400;Wijk 00 Urk
18900;Wijk 00 Wierden (kern)
18901;Wijk 01 Landelijk gebied Wierden
18902;Wijk 02 Hooge-Hexel
18903;Wijk 03 Enter (kern)
18904;Wijk 04 Landelijk gebied Enter
18905;Wijk 05 Rectum - Notter - Zuna
19310;Wijk 10 Binnenstad
19311;Wijk 11 Diezerpoort
19312;Wijk 12 Wipstrik
19313;Wijk 13 Assendorp
19314;Wijk 14 Kamperpoort-Veerallee
19320;Wijk 20 Poort van Zwolle
19321;Wijk 21 Westenholte
19322;Wijk 22 Stadshagen
19330;Wijk 30 Holtenbroek
19331;Wijk 31 Aalanden
19332;Wijk 32 Vechtlanden
19340;Wijk 40 Berkum
19341;Wijk 41 Marsweteringlanden
19350;Wijk 50 Schelle
19351;Wijk 51 Ittersum
19352;Wijk 52 Soestweteringlanden
19701;Wijk 01 Buitengebied Aalten
19702;Wijk 02 Bredevoort
19703;Wijk 03 Aalten Kern
19704;Wijk 04 Dinxperlo
20001;Centrum
20002;West
20003;Zuidwest
20004;Zuid
20005;Zuidoost
20006;Oost
20007;Noordoost
20008;Noord
20010;Uddel en omgeving
20011;Hoog Soeren en Radio Kootwijk
20012;Hoenderloo en omgeving
20013;Loenen en omgeving
20014;Beekbergen en omgeving
20015;Lieren en omgeving
20016;Klarenbeek en omgeving
20017;Wenum Wiesel Beemte
20201;Centrum
20202;Spijkerkwartier
20203;Arnhemse Broek
20204;Presikhaaf-West
20205;Presikhaaf-Oost
20206;St. Marten/Sonsbeek
20207;Klarendal
20208;Velperweg e.o.
20209;Alteveer/Cranevelt
20210;Geitenkamp
20211;Monnikenhuizen
20212;Burgemeesterswijk/Hoogkamp
20213;Schaarsbergen
20214;Heijenoord/Lombok
20215;Klingelbeek e.o.
20216;Malburgen-West
20217;Malburgen-Oost (Noord)
20218;Malburgen-Oost (Zuid)
20219;Vredenburg/Kronenburg
20220;Elden
20221;Elderveld
20222;De Laar
20223;Rijkerswoerd
20224;Schuytgraaf
20354;Wijk 54 Barneveld
20355;Wijk 55 Voorthuizen
20356;Wijk 56 Kootwijkerbroek
20357;Wijk 57 Garderen
20358;Wijk 58 Terschuur
20359;Wijk 59 Stroe
20360;Wijk 60 Zwartebroek
20361;Wijk 61 De Glind
20362;Wijk 62 Kootwijk
20363;Wijk 63 Achterveld
20901;Beuningen
20902;Ewijk
20903;Weurt
20904;Winssen
21301;Wijk 01 Empe
21302;Wijk 02 Tonden
21303;Wijk 03 Brummen
21304;Wijk 04 Leuvenheim
21305;Wijk 05 Hall
21306;Wijk 06 Eerbeek
21400;Wijk 00 Buren
21401;Wijk 01 Beusichem
21402;Wijk 02 Zoelen
21403;Wijk 03 Lienden
21404;Wijk 04 Ingen
21405;Wijk 05 Maurik
21406;Wijk 06 Ravenswaaij
21600;Wijk 00
22101;Wijk 01
22201;Wijk 01 Doetinchem Centrum
22202;Wijk 02
22203;Wijk 03
22204;Wijk 04
22205;Wijk 05
22206;Wijk 06
22207;Wijk 07
22208;Wijk 08
22209;Wijk 09
22211;Wijk 11 Buitengebied Doetinchem
22231;Wijk 31 Wehl
22500;Druten
22501;Puiflijk
22502;Afferden
22503;Deest
22504;Horssen
22601;Wijk 01 Bedrijventerrein
22602;Wijk 02 Buitengebied
22603;Wijk 03 Duiven-Noord
22604;Wijk 04 Duiven-Zuid
22605;Wijk 05 Groessen
22606;Wijk 06 Loo
22801;Ede-Oost
22802;Ede-West
22803;Ede-Veldhuizen
22804;Kernhem
22805;Veluwse Poort
22810;Ede-Zuid
22811;Maandereng
22812;Rietkampen
22813;Bedrijventerrein
22820;Buitengebied Ede
22830;Bennekom
22840;Lunteren
22850;Ederveen
22860;De Klomp
22870;Harskamp
22880;Wekerom
22890;Otterlo
23001;Wijk 01 Elburg
23002;Wijk 02
23003;Wijk 03 Doornspijk
23200;Wijk 00 Epe
23201;Wijk 01 Emst
23202;Wijk 02 Vaassen
23203;Wijk 03 Bosgebied
23300;Wijk 00 Ermelo
23301;Wijk 01 Speuld
23600;Geldermalsen
23601;Deil
23602;Beesd
23603;Buurmalsen
23604;Meteren
24301;Wijk 01 Binnenstad
24302;Wijk 02 Waterfront
24303;Wijk 03 Zeebuurt
24304;Wijk 04 Friesegracht
24305;Wijk 05 Stadsdennen
24306;Wijk 06 De Sypel
24307;Wijk 07 Stationsomgeving
24308;Wijk 08 Stadsweiden
24309;Wijk 09 Slingerbos
24310;Wijk 10 Tweelingstad
24311;Wijk 11 Frankrijk
24312;Wijk 12 Drielanden
24313;Wijk 13 Industrieterrein Lorentz
24314;Wijk 14 Buitengebied Harderwijk
24315;Wijk 15 Hierden
24316;Wijk 16 Wolderwijd
24400;Wijk 00 Hattem
24401;Wijk 01 Polder Hattem en Molecaten
24600;Wijk 00 Heerde
24601;Wijk 01 Wapenveld
25200;Wijk 00 Heumen
25201;Wijk 01 Overasselt
26200;Wijk 00 Lochem kern
26201;Wijk 01 Lochem buitengebied
26202;Wijk 02 Laren
26203;Wijk 03 Barchem
26204;Wijk 04 Gorssel
26205;Wijk 01 Almen-Harfsen
26300;Wijk 00 Kerkdriel
26301;Wijk 01 Ammerzoden
26302;Wijk 02 Hedel
26303;Wijk 03 Heerewaarden
26304;Wijk 04 Rossum
26701;Nijkerk-stad
26702;Appel, Driedorp, Kruishaar, Prinsenkamp en Slicht
26703;Nijkerkerveen en Holkerveen
26704;Arkemheen, Achterhoek, De Veenhuis
26705;Hoevelaken
26801;Wijk 01 Nijmegen-Centrum
26802;Wijk 02 Nijmegen-Oost
26803;Wijk 03 Nijmegen-Oud-West
26804;Wijk 04 Nijmegen-Nieuw-West
26805;Wijk 05 Nijmegen-Midden
26806;Wijk 06 Nijmegen-Zuid
26807;Wijk 07 Dukenburg
26808;Wijk 08 Lindenholt
26809;Wijk 09 Nijmegen-Noord
26900;Wijk 00 Oldebroek
26901;Wijk 01 Wezep
26902;Wijk 02 Oosterwolde
27300;Wijk 00 Putten
27301;Wijk 01 Bosgebied en Krachtighuizen
27401;Renkum Zuid
27402;Renkum Noord
27403;Heelsum ten westen van de rijksweg
27404;Heelsum ten oosten van de rijksweg
27405;Wolfheze ten zuiden van het spoor
27406;Wolfheze ten noorden van het spoor
27407;Buitengebied Doorwerth
27408;Bebouwde kom Doorwerth
27409;Heveadorp
27410;Oosterbeek West
27411;Oosterbeek Zuidoost
27412;Oosterbeek Noordoost
27500;Wijk 00 Dieren
27501;Wijk 01 Rheden
27502;Wijk 02 Velp
27700;Wijk 00
27900;Wijk 00
28100;Tiel kern
28101;Tiel-Noord
28102;Wadenoijen en Kapel Avezaath
28103;Tiel-Zuid
28500;Wijk 00 Voorst
28501;Wijk 01 Twello-Nijbroek
28502;Wijk 02 Klarenbeek-Teuge
28503;Wijk 03 Wilp
28901;Noordwest
28902;Wageningen Universiteit
28903;De Weiden en Boomgaarden
28904;De Horsten
28905;Kortenoord
28906;De Buurt
28907;Boven- en Benedenbuurt
28908;Nude
28909;Centrum
28910;Veluvia-Hamelakkers
28911;Wageningen-Hoog
28912;Buitengebied
29300;Wijk 00
29400;Wijk 00 Stad
29401;Wijk 01 Land
29600;Wijk 00 Wijchen buitengebied
29601;Wijk 01 Wijchen kern
29602;Wijk 02 Balgoij
29603;Wijk 03 Batenburg
29604;Wijk 04 Bergharen
29605;Wijk 05 Hernen
29606;Wijk 06 Leur
29607;Wijk 07 Niftrik
29608;Wijk 08 Alverna
29700;Wijk 00 Zaltbommel
29701;Wijk 01 Brakel
29702;Wijk 02 Kerkwijk
29703;Wijk 03 Nederhemert
29900;Zevenaar
29901;Babberich
29902;Angerlo
29903;Giesbeek
29904;Lathum
29905;Rijnstrangen
29906;Pannerden
29907;Aerdt
29908;Herwen
29909;Lobith
29910;Tolkamer
29911;Spijk
30100;Wijk 00 Centrum - De Hoven
30101;Wijk 01 Waterkwartier
30102;Wijk 02 Noordveen
30103;Wijk 03 Zuidwijken
30104;Wijk 04 Leesten
30105;Wijk 05 Warnsveld
30200;Wijk 00 Nunspeet
30201;Wijk 01 Elspeet-Vierhouten
30301;Wijk 01 Dronten west
30302;Wijk 02 Dronten Noord
30303;Wijk 03 Dronten Midden
30304;Wijk 04 Dronten Zuid
30305;Wijk 05 Buitengebied Dronten
30306;Wijk 06 Biddinghuizen
30307;Wijk 07 Swifterbant
30400;Wijk 00 Haaften
30401;Wijk 01 Waardenburg en Opijnen
30402;Wijk 02 Varik en Ophemert
30701;Wijk 01 Stadskern
30702;Wijk 02 Zonnehof
30703;Wijk 03 Soesterkwartier
30704;Wijk 04 Isselt
30705;Wijk 05 Bosgebied
30706;Wijk 06 De Koppel
30707;Wijk 07 De Kruiskamp
30708;Wijk 08 Schothorst Zuid
30709;Wijk 09 Schothorst Noord
30710;Wijk 10 Liendert
30711;Wijk 11 Rustenburg
30712;Wijk 12 Stoutenburg-Noord
30713;Wijk 13 Schuilenburg
30714;Wijk 14 Randenbroek
30715;Wijk 15 Vermeerkwartier
30716;Wijk 16 Leusderkwartier
30717;Wijk 17 De Berg Zuid
30718;Wijk 18 De Berg Noord
30719;Wijk 19 Hoogland
30720;Wijk 20 Zielhorst
30721;Wijk 21 Kattenbroek
30722;Wijk 22 Calveen
30723;Wijk 23 Park Schothorst
30724;Wijk 24 Nieuwland
30725;Wijk 25 valleipoort
30726;Wijk 26 Hooglanderveen
30727;Wijk 27 Buitengebied West
30728;Wijk 28 Vathorst-De Velden
30729;Wijk 29 Vathorst-centrum
30730;Wijk 30 Vathorst-De Bron
30731;Wijk 31 Vathorst-De Laak
30800;Wijk 00 Baarn
30801;Wijk 01 Baarn-Noord, Eemdal en Eemland
30802;Wijk 02 P.H.W.park
30804;Wijk 04 Buitengebied
30805;Wijk 05 Lage Vuursche
31001;Westbroek
31002;Hollandsche Rading
31003;Maartensdijk
31004;Groenekan
31005;De Leijen
31006;Bilthoven Noord
31007;Bilthoven Zuid Oost
31008;Bilthoven Zuid West
31009;De Bilt West
31010;De Bilt Oost
31200;Wijk 00 Bunnik
31201;Wijk 01 Odijk
31202;Wijk 02 Werkhoven
31300;Wijk 00
31702;Eemnes
32110;Wijk 10 Houten Noord-West
32111;Wijk 11 Houten Noord-Oost
32112;Wijk 12 Houten Zuid-West
32113;Wijk 13 Houten Zuid-Oost
32120;Wijk 20 Houten Buitengebied
32130;Wijk 30 't Goy
32131;Wijk 31 't Goy Buitengebied
32140;Wijk 40 Tull en 't waal
32141;Wijk 41 Tull en 't Waal Buitengebied
32150;Wijk 50 Schalkwijk
32151;Wijk 51 Schalkwijk Buitengebied
32700;Wijk 00 Leusden-Centrum Oost
32701;Wijk 01 Leusden-Centrum West
32702;Wijk 02 Leusden-Zuid
32703;Wijk 03 Achterveld
32704;Wijk 04 Stoutenburg
32705;Wijk 05 't Ruige Veld
33100;Wijk 00 Lopik, Benschop en Polsbroek
33500;Wijk 00
33501;Wijk 01 Linschoten
33502;Wijk 02 Willeskop
33900;Wijk 00
34000;Wijk 00 Rhenen
34001;Wijk 01 Rhenen Oost
34002;Wijk 02 Rhenen West
34003;Wijk 03 Rhenen Noord
34004;Wijk 04 Grebbeberg
34005;Wijk 05 Randzone
34006;Wijk 06 Binnenveld
34007;Wijk 07 Achterberg
34008;Wijk 08 Uiterwaarden Rhenen
34009;Wijk 09 Remmerden
34010;Wijk 10 Heuvelrug Rhenen
34011;Wijk 11 Heuvelrug Elst
34012;Wijk 12 Uiterwaarden Elst
34013;Wijk 13 Elst
34201;Wijk 01 't Hart-Soestdijk
34202;Wijk 02 Klaarwater
34203;Wijk 03 Boerenstreek
34204;Wijk 04 de Eng-Soest-Midden
34205;Wijk 05 Smitsveen
34206;Wijk 06 Overhees
34207;Wijk 07 Soest-Zuid
34208;Wijk 08 Soesterberg
34401;Wijk 01 West
34402;Wijk 02 Noordwest
34403;Wijk 03 Overvecht
34404;Wijk 04 Noordoost
34405;Wijk 05 Oost
34406;Wijk 06 Binnenstad
34407;Wijk 07 Zuid
34408;Wijk 08 Zuidwest
34409;Wijk 09 Leidsche Rijn
34410;Wijk 10 Vleuten-De Meern
34500;Wijk 00 Centrum
34501;Wijk 01 Noordoost
34502;Wijk 02 Zuidoost
34503;Wijk 03 Zuidwest
34504;Wijk 04 Noordwest
34505;Wijk 05 West
35100;Wijk 00 Woudenberg
35200;Wijk 00 Wijk bij Duurstede
35201;Wijk 01 Landelijk gebied
35202;Wijk 02 Cothen
35203;Wijk 03 Langbroek
35300;Wijk 00 IJsselstein
35501;Wijk 01 Centrum Zeist
35502;Wijk 02 Zeist-Noord
35503;Wijk 03 Zeist-West
35504;Wijk 04 Zeist-Oost, Zeister Bos en omgeving
35505;Wijk 05 Huis Ter Heide, Bosch en Duin
35601;Jutphaas Wijkersloot
35602;Zuilenstein
35603;Batau Zuid
35604;Batau Noord
35605;Doorslag
35606;Huis de Geer
35607;Blokhoeve
35608;Galecop
35610;Fokkesteeg
35611;Hoogzandveld
35612;Lekboulevard
35613;Vreeswijk
35614;Merwestein
35615;Park Oudegein
35616;Zandveld
35618;Het Klooster
35620;Laagraven
35621;Plettenburg
35622;De Wiers
35623;Hoge Landen
35624;Stadscentrum
35625;Rijnhuizen
35800;Wijk 00 Aalsmeer
35801;Wijk 01 Kudelstraat en Kalslagen
35802;Wijk 02 Oosteinde
36101;Zuid
36102;Oudorp
36103;Overdie
36104;West
36105;Huiswaard
36106;De Mare
36107;Daalmeer/Koedijk
36108;Centrum
36109;Schermer
36110;Graft-De Rijp
36111;Vroonermeer
36201;Randwijck
36202;Patrimonium
36203;Elsrijk
36204;Stadshart
36205;Uilenstede, Kronenburg
36206;Bankras, Kostverloren
36207;Buitengebied Noord
36208;Keizer Karelpark
36209;Groenelaan
36210;Waardhuizen, Middenhoven
36211;Bovenkerk - Westwijk Noord
36212;Westwijk Zuid
36213;Buitengebied Zuid
36214;Amsterdamse Bos
36300;Burgwallen-Oude Zijde
36301;Burgwallen-Nieuwe Zijde
36302;Grachtengordel-West
36303;Grachtengordel-Zuid
36304;Nieuwmarkt/Lastage
36305;Haarlemmerbuurt
36306;Jordaan
36307;De Weteringschans
36308;Weesperbuurt/Plantage
36309;Oostelijke Eilanden/Kadijken
36310;Westelijk Havengebied
36311;Bedrijventerrein Sloterdijk
36312;Houthavens
36313;Spaarndammer- en Zeeheldenbuurt
36314;Staatsliedenbuurt
36315;Centrale Markt
36316;Frederik Hendrikbuurt
36317;Da Costabuurt
36318;Kinkerbuurt
36319;Van Lennepbuurt
36320;Helmersbuurt
36321;Overtoomse Sluis
36322;Vondelbuurt
36323;Zuidas
36324;Oude Pijp
36325;Nieuwe Pijp
36326;Zuid Pijp
36327;Weesperzijde
36328;Oosterparkbuurt
36329;Dapperbuurt
36330;Transvaalbuurt
36331;Indische Buurt West
36332;Indische Buurt Oost
36333;Oostelijk Havengebied
36334;Zeeburgereiland/Nieuwe Diep
36335;IJburg West
36336;Sloterdijk
36337;Landlust
36338;Erasmuspark
36339;De Kolenkit
36340;Geuzenbuurt
36341;Van Galenbuurt
36342;Hoofdweg e.o.
36343;Westindische Buurt
36344;Hoofddorppleinbuurt
36345;Schinkelbuurt
36346;Willemspark
36347;Museumkwartier
36348;Stadionbuurt
36349;Apollobuurt
36350;IJburg Oost
36351;IJburg Zuid
36352;Scheldebuurt
36353;IJselbuurt
36354;Rijnbuurt
36355;Frankendael
36356;Middenmeer
36357;Betondorp
36358;Omval/Overamstel
36359;Prinses Irenebuurt e.o.
36360;Volewijck
36361;IJplein/Vogelbuurt
36362;Tuindorp Nieuwendam
36363;Tuindorp Buiksloot
36364;Nieuwendammerdijk/Buiksloterdijk
36365;Tuindorp Oostzaan
36366;Oostzanerwerf
36367;Kadoelen
